Date,Price
2024-04-18,2335.20
2024-04-17,2363.40
2024-04-16,2400.35
2024-04-15,2383.57
2024-04-12,2372.10
2024-04-11,2345.98
2024-04-10,2328.45
2024-04-09,2361.52
2024-04-08,2339.87
2024-04-05,2345.67
2024-04-04,2302.15
2024-04-03,2315.25
2024-04-02,2281.37
2024-04-01,2265.56
2024-03-28,2238.40
2024-03-27,2212.34
2024-03-26,2178.90
2024-03-25,2165.73
2024-03-22,2160.80
2024-03-21,2181.65
2024-03-20,2161.75
2024-03-19,2158.22
2024-03-18,2161.53
2024-03-15,2155.98
2024-03-14,2167.09
2024-03-13,2175.23
2024-03-12,2166.48
2024-03-11,2188.35
2024-03-08,2185.87
2024-03-07,2167.42
2024-03-06,2148.63
2024-03-05,2141.90
2024-03-04,2126.10
2024-03-01,2082.42
2024-02-29,2054.70
2024-02-28,2042.30
2024-02-27,2030.15
2024-02-26,2035.73
2024-02-23,2038.42
2024-02-22,2024.30
2024-02-21,2034.18
2024-02-20,2025.99
2024-02-19,2018.86
2024-02-16,2013.50
2024-02-15,2004.30
2024-02-14,2007.15
2024-02-13,2031.23
2024-02-12,2033.54
2024-02-09,2038.10
2024-02-08,2041.55
2024-02-07,2051.11
2024-02-06,2035.57
2024-02-05,2042.60
2024-02-02,2053.70
2024-02-01,2067.25
2024-01-31,2063.50
2024-01-30,2050.39
2024-01-29,2033.43
2024-01-26,2018.97
2024-01-25,2021.65
2024-01-24,2014.74
2024-01-23,2025.99
2024-01-22,2021.94
2024-01-19,2029.27
2024-01-18,2023.10
2024-01-17,2006.99
2024-01-16,2032.00
2024-01-15,2051.60
2024-01-12,2049.80
2024-01-11,2019.25
2024-01-10,2026.90
2024-01-09,2030.25
2024-01-08,2028.70
2024-01-05,2045.30
2024-01-04,2043.85
2024-01-03,2042.00
2024-01-02,2059.45
2023-12-29,2064.70
2023-12-28,2067.85
2023-12-27,2068.20
2023-12-26,2069.80
2023-12-22,2058.90
2023-12-21,2044.90
2023-12-20,2039.60
2023-12-19,2040.65
2023-12-18,2023.65
2023-12-15,2033.80
2023-12-14,2046.00
2023-12-13,1993.40
2023-12-12,1982.50
2023-12-11,1993.10
2023-12-08,2001.60
2023-12-07,2024.20
2023-12-06,2027.00
2023-12-05,2020.30
2023-12-04,2042.80
2023-12-01,2089.70
2023-11-30,2036.30
2023-11-29,2044.60
2023-11-28,2038.60
2023-11-27,2014.20
2023-11-24,2003.00
2023-11-23,1992.80
2023-11-22,1990.00
2023-11-21,1997.20
2023-11-20,1980.30
2023-11-17,1984.70
2023-11-16,1961.20
2023-11-15,1961.00
2023-11-14,1966.00
2023-11-13,1944.80
2023-11-10,1941.10
2023-11-09,1969.80
2023-11-08,1950.65
2023-11-07,1968.55
2023-11-06,1988.90
2023-11-03,1991.70
2023-11-02,1984.20
2023-11-01,1957.20
2023-10-31,1994.00
2023-10-30,2004.00
2023-10-27,2007.15
2023-10-26,1984.70
2023-10-25,1973.80
2023-10-24,1967.00
2023-10-23,1975.80
2023-10-20,1985.10
2023-10-19,1982.50
2023-10-18,1966.10
2023-10-17,1962.40
2023-10-16,1927.40
2023-10-13,1930.20
2023-10-12,1884.00
2023-10-11,1878.60
2023-10-10,1861.20
2023-10-09,1864.30
2023-10-06,1845.70
2023-10-05,1831.80
2023-10-04,1823.10
2023-10-03,1829.80
2023-10-02,1833.00
2023-09-29,1848.20
2023-09-28,1868.10
2023-09-27,1873.80
2023-09-26,1903.10
2023-09-25,1916.10
2023-09-22,1925.20
2023-09-21,1939.60
2023-09-20,1956.50
2023-09-19,1953.70
2023-09-18,1948.10
2023-09-15,1944.10
2023-09-14,1932.30
2023-09-13,1932.90
2023-09-12,1935.80
2023-09-11,1945.70
2023-09-08,1942.20
2023-09-07,1931.30
2023-09-06,1939.60
2023-09-05,1952.20
2023-09-04,1964.95
2023-09-01,1965.70
2023-08-31,1965.90
2023-08-30,1952.40
2023-08-29,1936.60
2023-08-28,1919.40
2023-08-25,1915.00
2023-08-24,1921.50
2023-08-23,1928.90
2023-08-22,1912.20
2023-08-21,1891.70
2023-08-18,1889.80
2023-08-17,1896.90
2023-08-16,1930.20
2023-08-15,1912.90
2023-08-14,1934.10
2023-08-11,1944.30
2023-08-10,1968.50
2023-08-09,1950.60
2023-08-08,1959.90
2023-08-07,1968.80
2023-08-04,1976.10
2023-08-03,1968.80
2023-08-02,1950.60
2023-08-01,1967.40
2023-07-31,1972.40
2023-07-28,1962.50
2023-07-27,1960.20
2023-07-26,1970.10
2023-07-25,1963.00
2023-07-24,1954.10
2023-07-21,1964.30
2023-07-20,1970.90
2023-07-19,1981.50
2023-07-18,1980.80
2023-07-17,1956.00
2023-07-14,1955.10
2023-07-13,1963.20
2023-07-12,1957.00
2023-07-11,1931.20
2023-07-10,1931.30
2023-07-07,1925.60
2023-07-06,1911.60
2023-07-05,1927.10
2023-07-04,1923.30
2023-07-03,1921.50
2023-06-30,1929.60
2023-06-29,1917.60
2023-06-28,1922.20
2023-06-27,1913.10
2023-06-26,1925.00
2023-06-23,1929.70
2023-06-22,1923.70
2023-06-21,1944.90
2023-06-20,1935.00
2023-06-19,1950.10
2023-06-16,1969.10
2023-06-15,1978.60
2023-06-14,1957.80
2023-06-13,1958.50
2023-06-12,1952.20
2023-06-09,1960.10
2023-06-08,1978.70
2023-06-07,1942.20
2023-06-06,1963.70
2023-06-05,1965.10
2023-06-02,1948.80
2023-06-01,1995.00
2023-05-31,1962.30
2023-05-30,1958.30
2023-05-26,1946.30
2023-05-25,1943.70
2023-05-24,1957.10
2023-05-23,1974.50
2023-05-22,1968.30
2023-05-19,1981.10
2023-05-18,1982.20
2023-05-17,1984.90
2023-05-16,2007.00
2023-05-15,2022.70
2023-05-12,2019.80
2023-05-11,2017.90
2023-05-10,2037.10
2023-05-09,2042.00
2023-05-08,2033.10
2023-05-05,2022.70
2023-05-04,2055.70
2023-05-03,2031.00
2023-05-02,1999.00
2023-05-01,1992.80
2023-04-28,1999.30
2023-04-27,1987.10
2023-04-26,1995.50
2023-04-25,2003.50
2023-04-24,1995.10
2023-04-21,1981.10
2023-04-20,1987.20
2023-04-19,2007.40
